case_id,source_dataset,position
JPN-2001-IKEDA,GTD,0
FIN-2007-JOKELA,GTD,0
FIN-2007-JOKELA,Violence Project,0
JPN-2008-AKIHABARA,GTD,0
FIN-2008-KAUHAJOKI,GTD,0
FIN-2008-KAUHAJOKI,Violence Project,0
DEU-2009-WINNENDEN,GTD,0
DEU-2009-WINNENDEN,Violence Project,0
DEU-2009-WINNENDEN,Ravndal RTV,0
NOR-2011-BREIVIK,GTD #201107220008,0
NOR-2011-BREIVIK,Europol TE-SAT 2012,0
NOR-2011-BREIVIK,Ravndal RTV,0
USA-2012-AURORA,GTD,0
USA-2012-AURORA,Mother Jones,0
USA-2012-AURORA,Violence Project #146,0
USA-2012-OAKCREEK,GTD #201208050001,0
USA-2012-OAKCREEK,ADL,0
USA-2012-OAKCREEK,SPLC,0
USA-2012-SANDYHOOK,GTD #201212140018,0
USA-2012-SANDYHOOK,Violence Project #153,0
USA-2012-SANDYHOOK,Mother Jones,0
USA-2014-ISLAVISTA,GTD #201405230002,0
USA-2014-ISLAVISTA,Violence Project #162,0
USA-2014-ISLAVISTA,ADL incel backgrounder,0
FRA-2015-HEBDO,GTD,0
FRA-2015-HEBDO,Europol TE-SAT 2016,0
FRA-2015-HEBDO,CSIS,0
DNK-2015-COPENHAGEN,GTD,0
DNK-2015-COPENHAGEN,Europol TE-SAT 2016,0
USA-2015-CHARLESTON,GTD #201506170000,0
USA-2015-CHARLESTON,New America,0
USA-2015-CHARLESTON,ADL,0
AUT-2015-GRAZ-SUV,GTD,0
AUT-2015-GRAZ-SUV,Europol TE-SAT 2016,0
SWE-2015-TROLLHATTAN,GTD,0
SWE-2015-TROLLHATTAN,Ravndal RTV,0
FRA-2015-BATACLAN,GTD,0
FRA-2015-BATACLAN,Europol TE-SAT 2016,0
FRA-2015-BATACLAN,CSIS,0
USA-2015-SANBERN,GTD,0
USA-2015-SANBERN,New America,0
USA-2015-SANBERN,FBI,0
TUR-2016-ANKARA,GTD,0
BEL-2016-BRUSSELS,GTD,0
BEL-2016-BRUSSELS,Europol TE-SAT 2017,0
USA-2016-PULSE,GTD,0
USA-2016-PULSE,Mother Jones,0
USA-2016-PULSE,New America,0
FRA-2016-MAGNANVILLE,GTD,0
FRA-2016-MAGNANVILLE,Europol TE-SAT 2017,0
FRA-2016-NICE,GTD,0
FRA-2016-NICE,Europol TE-SAT 2017,0
DEU-2016-MUNICH,GTD,0
DEU-2016-MUNICH,BfV 2016,0
JPN-2016-SAGAMIHARA,GTD,0
DEU-2016-BERLIN,GTD,0
DEU-2016-BERLIN,Europol TE-SAT 2017,0
DEU-2016-BERLIN,BfV 2016,0
TUR-2017-REINA,GTD,0
TUR-2017-REINA,Europol TE-SAT 2018,0
MEX-2017-MONTERREY,Latin American press,0
AUS-2017-BOURKE1,GTD,0
AUS-2017-BOURKE1,ASIO,0
CAN-2017-QUEBEC,GTD,0
CAN-2017-QUEBEC,Perry/Scrivens,0
UK-2017-MANCHESTER,GTD,0
UK-2017-MANCHESTER,UK Home Office,0
UK-2017-MANCHESTER,CONTEST,0
UK-2017-LONDONBRIDGE,GTD,0
UK-2017-LONDONBRIDGE,UK Home Office,0
UK-2017-FINSBURY,GTD,0
UK-2017-FINSBURY,UK Home Office,0
ESP-2017-BARCELONA,GTD,0
ESP-2017-BARCELONA,Europol TE-SAT 2018,0
USA-2017-LASVEGAS,GTD,0
USA-2017-LASVEGAS,Mother Jones,0
USA-2017-LASVEGAS,Violence Project #190,0
USA-2017-SUTHERLAND,GTD,0
USA-2017-SUTHERLAND,Mother Jones,0
USA-2017-SUTHERLAND,Violence Project #193,0
ITA-2018-MACERATA,GTD,0
ITA-2018-MACERATA,Europol TE-SAT 2019,0
USA-2018-PARKLAND,GTD,0
USA-2018-PARKLAND,Mother Jones,0
USA-2018-PARKLAND,Violence Project #195,0
CAN-2018-TORONTO,GTD,0
CAN-2018-TORONTO,Perry/Scrivens,0
USA-2018-SANTAFE,GTD,0
USA-2018-SANTAFE,Violence Project,0
BEL-2018-LIEGE,GTD,0
BEL-2018-LIEGE,Europol TE-SAT 2019,0
USA-2018-ANNAPOLIS,Mother Jones,0
USA-2018-ANNAPOLIS,Violence Project,0
RUS-2018-KERCH,Russian Investigative Committee,0
USA-2018-PITTSBURGH,GTD,0
USA-2018-PITTSBURGH,ADL,0
USA-2018-PITTSBURGH,GW Program,0
USA-2018-THOUSANDOAKS,Mother Jones,0
USA-2018-THOUSANDOAKS,Violence Project,0
AUS-2018-BOURKE2,GTD,0
AUS-2018-BOURKE2,ASIO,0
FRA-2018-STRASBOURG,GTD,0
FRA-2018-STRASBOURG,Europol TE-SAT 2019,0
USA-2019-HASSON,DOJ,0
USA-2019-HASSON,ADL,0
USA-2019-HASSON,GW,0
NZL-2019-CHRISTCHURCH,GTD,0
NZL-2019-CHRISTCHURCH,Europol,0
NZL-2019-CHRISTCHURCH,NZ Royal Commission,0
NLD-2019-UTRECHT,GTD,0
NLD-2019-UTRECHT,Europol TE-SAT 2020,0
USA-2019-POWAY,GTD,0
USA-2019-POWAY,ADL,0
USA-2019-POWAY,GNET,0
USA-2019-STEM,Violence Project,0
USA-2019-VABEACH,Mother Jones,0
USA-2019-VABEACH,Violence Project,0
AUS-2019-DARWIN,GTD,0
AUS-2019-DARWIN,ASIO,0
JPN-2019-KYOANI,Japanese court records,0
USA-2019-ELPASO,GTD,0
USA-2019-ELPASO,ADL,0
USA-2019-ELPASO,GW,0
USA-2019-ELPASO,CSIS,0
USA-2019-DAYTON,GTD,0
USA-2019-DAYTON,Mother Jones,0
USA-2019-DAYTON,Violence Project,0
USA-2019-CLIMO,DOJ,0
USA-2019-CLIMO,ADL,0
NOR-2019-BAERUM,GTD,0
NOR-2019-BAERUM,Ravndal,0
FIN-2019-KUOPIO,Finnish court,0
DEU-2019-HALLE,GTD,0
DEU-2019-HALLE,BfV 2019,0
DEU-2019-HALLE,Europol TE-SAT 2020,0
USA-2019-HOLZER,DOJ,0
USA-2019-HOLZER,ADL,0
UK-2019-FISHMONGERS,GTD,0
UK-2019-FISHMONGERS,UK Home Office,0
USA-2020-BASE,DOJ,0
USA-2020-BASE,ADL,0
USA-2020-BASE,Europol,0
USA-2020-BASE,RCMP,0
UK-2020-STREATHAM,GTD,0
UK-2020-STREATHAM,UK Home Office,0
DEU-2020-GRUPPES,BfV,0
DEU-2020-GRUPPES,Europol TE-SAT 2021,0
DEU-2020-HANAU,GTD,0
DEU-2020-HANAU,BfV 2020,0
DEU-2020-HANAU,Europol TE-SAT 2021,0
DEU-2020-VOLKMARSEN,Ravndal RTV,0
CAN-2020-NOVASCOTIA,Mass Casualty Commission 2023,0
USA-2020-MELZER,DOJ,0
USA-2020-MELZER,ADL,0
UK-2020-READING,GTD,0
UK-2020-READING,UK Home Office,0
USA-2020-WHITMER,DOJ,0
USA-2020-WHITMER,ADL,0
USA-2020-WHITMER,GW,0
FRA-2020-PATY,GTD,0
FRA-2020-PATY,Europol TE-SAT 2021,0
FRA-2020-NICECHURCH,GTD,0
AUT-2020-VIENNA,GTD,0
AUT-2020-VIENNA,Europol TE-SAT 2021,0
AUT-2020-VIENNA,BVT,0
USA-2021-ATLANTA,GTD,0
USA-2021-ATLANTA,ADL,0
USA-2021-ATLANTA,Stop AAPI Hate,0
USA-2021-BOULDER,Mother Jones,0
USA-2021-BOULDER,Violence Project,0
USA-2021-FEDEX,Mother Jones,0
USA-2021-FEDEX,GVA,0
RUS-2021-KAZAN,Russian Investigative Committee,0
CAN-2021-LONDONON,GTD,0
CAN-2021-LONDONON,Perry/Scrivens,0
JPN-2021-ODAKYU,NHK,0
JPN-2021-ODAKYU,Japan Times,0
UK-2021-PLYMOUTH,UK Home Office,0
UK-2021-PLYMOUTH,ADL,0
NZL-2021-LYNNMALL,GTD,0
NZL-2021-LYNNMALL,NZ SIS,0
RUS-2021-PERM,Russian Investigative Committee,0
RUS-2021-PERM,Kruglova ICCT,0
NOR-2021-KONGSBERG,Europol TE-SAT 2022,0
UK-2021-AMESS,GTD,0
UK-2021-AMESS,UK Home Office,0
JPN-2021-KEIO,Japanese court,0
JPN-2021-KEIO,NHK,0
UK-2021-LIVERPOOL,GTD,0
UK-2021-LIVERPOOL,UK Home Office,0
USA-2021-OXFORD,Mother Jones,0
USA-2021-OXFORD,Violence Project,0
DEU-2022-VEREINTEPATRIOTEN,BfV,0
DEU-2022-VEREINTEPATRIOTEN,Europol TE-SAT 2023,0
USA-2022-BUFFALO,GTD,0
USA-2022-BUFFALO,ADL,0
USA-2022-BUFFALO,GW,0
USA-2022-BUFFALO,GNET,0
USA-2022-BUFFALO,CSIS,0
USA-2022-UVALDE,Mother Jones,0
USA-2022-UVALDE,Violence Project,0
NOR-2022-OSLOPRIDE,Europol TE-SAT 2023,0
DNK-2022-COPENHAGEN,Danish court,0
USA-2022-HIGHLAND,GTD,0
USA-2022-HIGHLAND,ADL,0
JPN-2022-ABE,Japanese court,0
JPN-2022-ABE,Japan Times,0
CAN-2022-JAMESSMITH,RCMP,0
CAN-2022-JAMESSMITH,CBC,0
RUS-2022-IZHEVSK,Russian Investigative Committee,0
SVK-2022-BRATISLAVA,Europol TE-SAT 2023,0
SVK-2022-BRATISLAVA,ARC,0
SVK-2022-BRATISLAVA,GNET,0
SVK-2022-BRATISLAVA,RSIS,0
USA-2022-CLUBQ,GTD,0
USA-2022-CLUBQ,ADL,0
USA-2022-CHESAPEAKE,Mother Jones,0
DEU-2022-REUSS,BfV,0
DEU-2022-REUSS,BKA,0
DEU-2022-REUSS,Europol TE-SAT 2023,0
AUS-2022-WIEAMBILLA,ASIO,0
AUS-2022-WIEAMBILLA,Qld Coroner,0
USA-2023-MONTEREY,Mother Jones,0
USA-2023-MONTEREY,Violence Project,0
USA-2023-HALFMOONBAY,Mother Jones,0
ESP-2023-ALGECIRAS,Audiencia Nacional,0
DEU-2023-BROKSTEDT,German court,0
DEU-2023-BROKSTEDT,Europol TE-SAT 2024,0
USA-2023-NASHVILLE,GTD,0
USA-2023-NASHVILLE,Violence Project,0
USA-2023-LOUISVILLE,Mother Jones,0
JPN-2023-KISHIDA,Japanese court,0
USA-2023-ALLEN,GTD,0
USA-2023-ALLEN,ADL,0
USA-2023-ALLEN,GW,0
JPN-2023-NAGANO,Japanese court,0
FRA-2023-ANNECY,French court,0
UK-2023-NOTTINGHAM,UK Home Office,0
NZL-2023-AUCKLANDCBD,NZ Police,0
KOR-2023-SILLIM,Korean court,0
KOR-2023-BUNDANG,Korean court,0
USA-2023-JACKSONVILLE,GTD,0
USA-2023-JACKSONVILLE,ADL,0
USA-2023-JACKSONVILLE,GW,0
NLD-2023-ROTTERDAM,Dutch court,0
FRA-2023-ARRAS,French court,0
FRA-2023-ARRAS,Europol TE-SAT 2024,0
BEL-2023-BRUSSELS,GTD,0
BEL-2023-BRUSSELS,Europol TE-SAT 2024,0
USA-2023-LEWISTON,GTD,0
USA-2023-LEWISTON,Mother Jones,0
FRA-2023-CREPOL,French court,0
RUS-2023-BRYANSK,Russian Investigative Committee,0
CZE-2023-PRAGUE,Europol TE-SAT 2024,0
FIN-2024-VIERTOLA,Finnish MOJ,0
FIN-2024-VIERTOLA,Saarinen ECPR 2024,0
AUS-2024-BONDI,NSW Coroner,0
AUS-2024-BONDI,ASIO,0
AUS-2024-WAKELEY,ASIO,0
AUS-2024-WAKELEY,NSW Police,0
UK-2024-HAINAULT,UK Home Office,0
DEU-2024-MANNHEIM,German court,0
USA-2024-TAKHISTOV,DOJ,0
USA-2024-TAKHISTOV,GNET,0
MEX-2024-UTEG,Mexican press,0
MEX-2024-UTEG,CTED,0
USA-2024-BUTLER,GTD,0
UK-2024-SOUTHPORT,UK Home Office,0
UK-2024-SOUTHPORT,"Southport Inquiry (Coppel KC, 2025)",0
TUR-2024-ESKISEHIR,Europol TE-SAT 2025,0
TUR-2024-ESKISEHIR,GNET,0
TUR-2024-ESKISEHIR,ARC,0
DEU-2024-SOLINGEN,German court,0
DEU-2024-SOLINGEN,Europol TE-SAT 2025,0
USA-2024-APALACHEE,GTD,0
USA-2024-APALACHEE,Violence Project,0
DEU-2024-MUNICHCONSULATE,Europol TE-SAT 2025,0
USA-2024-HUMBER,DOJ,0
USA-2024-HUMBER,ADL,0
USA-2024-HUMBER,ARC,0
USA-2024-HUMBER,GNET,0
USA-2024-HUMBER,GW,0
DEU-2024-SACHSISCHE,BfV,0
DEU-2024-SACHSISCHE,Europol TE-SAT 2025,0
USA-2024-MADISON,DOJ,0
USA-2024-MADISON,ADL,0
USA-2024-MADISON,ARC,0
DEU-2024-MAGDEBURG,German court,0
DEU-2024-MAGDEBURG,Europol TE-SAT 2025,0
USA-2025-NEWORLEANS,FBI,0
USA-2025-NEWORLEANS,GW,0
USA-2025-LASVEGAS,FBI,0
USA-2025-LASVEGAS,LVMPD,0
DEU-2025-ASCHAFFENBURG,German court,0
USA-2025-ANTIOCH,DOJ,0
USA-2025-ANTIOCH,ADL,0
USA-2025-ANTIOCH,ARC,0
USA-2025-ANTIOCH,GNET,0
USA-2025-ANTIOCH,GW,0
USA-2025-ANTIOCH,Europol TE-SAT 2025,0
SWE-2025-OREBRO,Sakpo,0
SWE-2025-OREBRO,Svenska Dagbladet,0
USA-2025-CASAP-WI,DOJ,0
USA-2025-CASAP-WI,ADL,0
USA-2025-ALLEN-FL,DOJ,0
USA-2025-ALLEN-FL,ADL,0
USA-2025-FSU,FBI,0
USA-2025-FSU,ADL,0
CAN-2025-VANCOUVER,VPD,0
CAN-2025-VANCOUVER,CBC,0
AUT-2025-GRAZ,Austrian court,0
AUT-2025-GRAZ,BVT,0
JPN-2025-YOKOHAMA,NHK,0
USA-2025-MINNEAPOLIS,FBI,0
USA-2025-MINNEAPOLIS,ADL,0
MEX-2025-CCHSUR,CTED,0
MEX-2025-CCHSUR,Spanish-language press,0
RUS-2025-ODINTSOVO,Russian Investigative Committee,0
RUS-2025-ODINTSOVO,Kruglova,0
RUS-2025-ODINTSOVO,ARC,0
AUS-2025-BONDIBEACH,ASIO,0
RUS-2026-ANAPA,Russian Investigative Committee,0
SVK-2022-BENADIK,Slovak prosecutors,0
SVK-2022-BENADIK,ARC,0
USA-2024-PAFFENDORF,DOJ,0
USA-2024-PAFFENDORF,ADL,0
USA-2024-PAFFENDORF,ARC,0
