case_id,citing_attacker,position
FIN-2007-JOKELA,Saari (Kauhajoki 2008),0
FIN-2007-JOKELA,Marin (Kuopio 2019),0
FIN-2008-KAUHAJOKI,Marin (Kuopio 2019),0
NOR-2011-BREIVIK,Sonboly (Munich 2016),0
NOR-2011-BREIVIK,Bowers,0
NOR-2011-BREIVIK,Tarrant (claimed brief contact),0
NOR-2011-BREIVIK,Manshaus,0
NOR-2011-BREIVIK,Balliet,0
NOR-2011-BREIVIK,Gendron,0
NOR-2011-BREIVIK,Krajcik,0
NOR-2011-BREIVIK,Henderson,0
NOR-2011-BREIVIK,Hasson,0
NOR-2011-BREIVIK,Mathews-Base,0
NOR-2011-BREIVIK,Timofey K (Odintsovo 2025),0
NOR-2011-BREIVIK,Kucukyetim (Eskisehir 2024),0
NOR-2011-BREIVIK,many others,0
USA-2012-OAKCREEK,referenced in some Terrorgram materials,0
USA-2012-SANDYHOOK,Hale (Covenant 2023),0
USA-2012-SANDYHOOK,Rupnow (Madison 2024),0
USA-2012-SANDYHOOK,many TCC/Columbiner fandom references,0
USA-2014-ISLAVISTA,Minassian (Toronto 2018),0
USA-2014-ISLAVISTA,Davison (Plymouth 2021),0
USA-2014-ISLAVISTA,Long (Atlanta 2021),0
USA-2014-ISLAVISTA,"Hattori (Keio 2021, structural)",0
USA-2014-ISLAVISTA,Garcia (Allen 2023),0
USA-2014-ISLAVISTA,Lex Ashton (CCH Sur 2025),0
USA-2014-ISLAVISTA,numerous foiled plotters,0
USA-2015-CHARLESTON,Earnest,0
USA-2015-CHARLESTON,Crusius,0
USA-2015-CHARLESTON,Gendron,0
USA-2015-CHARLESTON,Krajcik,0
USA-2015-CHARLESTON,Henderson,0
USA-2015-CHARLESTON,Garcia (Allen),0
USA-2015-CHARLESTON,Palmeter (Jacksonville),0
USA-2015-CHARLESTON,Timofey K (Odintsovo),0
SWE-2015-TROLLHATTAN,Tarrant (explicit — name inscribed on Christchurch firearms),0
SWE-2015-TROLLHATTAN,Gendron (Buffalo manifesto),0
SWE-2015-TROLLHATTAN,Hugo Jackson's mask,0
FRA-2016-NICE,template for Berlin 2016,0
FRA-2016-NICE,Stockholm 2017,0
FRA-2016-NICE,Barcelona 2017,0
FRA-2016-NICE,NYC 2017,0
FRA-2016-NICE,Toronto van 2018,0
FRA-2016-NICE,Magdeburg 2024,0
DEU-2016-BERLIN,"Brokstedt / Ibrahim A 2023 (""I am one too"")",0
CAN-2017-QUEBEC,Tarrant (name inscribed on Christchurch firearms),0
UK-2017-FINSBURY,Tarrant (name inscribed on Christchurch firearms),0
ITA-2018-MACERATA,Tarrant (name inscribed on Christchurch firearms,0
ITA-2018-MACERATA,cited in manifesto),0
USA-2018-PARKLAND,Henderson (Antioch 2025),0
CAN-2018-TORONTO,Davison (Plymouth 2021),0
CAN-2018-TORONTO,Lex Ashton (CCH Sur 2025),0
CAN-2018-TORONTO,numerous foiled incel plotters,0
RUS-2018-KERCH,"Monakhov (Nizhny Novgorod village Oct 2020, same Hatsan)",0
RUS-2018-KERCH,Galyaviev (Kazan 2021),0
RUS-2018-KERCH,Bekmansurov (Perm 2021),0
RUS-2018-KERCH,Jakarta 2025 bomber wore НЕНАВИСТЬ T-shirt and inscribed Roslyakov on airsoft weapons,0
RUS-2018-KERCH,"Timofey K (Odintsovo 2025, among saints)",0
USA-2018-PITTSBURGH,Earnest,0
USA-2018-PITTSBURGH,Crusius,0
USA-2018-PITTSBURGH,Gendron,0
