case_id,cited_attacker,position
FIN-2007-JOKELA,Harris/Klebold (Columbine),0
FIN-2007-JOKELA,Seung-Hui Cho (Virginia Tech 2007),0
FIN-2008-KAUHAJOKI,Harris/Klebold,0
FIN-2008-KAUHAJOKI,Auvinen (Jokela),0
NOR-2011-BREIVIK,William Pierce Turner Diaries (tangential),0
USA-2012-SANDYHOOK,Harris/Klebold,0
USA-2012-SANDYHOOK,Cho,0
USA-2012-SANDYHOOK,Kimveer Gill,0
USA-2012-SANDYHOOK,Tomohiro Kato,0
USA-2012-SANDYHOOK,Breivik (all catalogued),0
DEU-2016-MUNICH,Breivik (primary — anniversary attack),0
DEU-2016-MUNICH,Columbine,0
DEU-2016-BERLIN,Nice 2016 (replication),0
CAN-2017-QUEBEC,Dylann Roof (cited in interviews),0
CAN-2017-QUEBEC,Trump,0
CAN-2017-QUEBEC,Le Pen,0
USA-2018-PARKLAND,Columbine (Harris/Klebold),0
CAN-2018-TORONTO,"Elliot Rodger (""Supreme Gentleman"")",0
CAN-2018-TORONTO,"""Chad/Stacy"" framework",0
CAN-2018-TORONTO,"""4chan Sgt""",0
USA-2018-SANTAFE,Harris/Klebold (Columbine) — explicit aesthetic replication,0
RUS-2018-KERCH,"Harris/Klebold (Columbine — ""Natural Selection"" direct Harris emulation",0
RUS-2018-KERCH,shotgun-mouth library suicide = Harris location),0
USA-2018-PITTSBURGH,Great Replacement / Turner Diaries tropes,0
USA-2019-HASSON,Breivik (explicit planning document based on 2083),0
NZL-2019-CHRISTCHURCH,Breivik (claimed brief contact),0
NZL-2019-CHRISTCHURCH,Roof,0
NZL-2019-CHRISTCHURCH,Bowers,0
NZL-2019-CHRISTCHURCH,Traini,0
NZL-2019-CHRISTCHURCH,Lundin Pettersson,0
NZL-2019-CHRISTCHURCH,Bissonnette,0
NZL-2019-CHRISTCHURCH,Osborne,0
NZL-2019-CHRISTCHURCH,Lapshyn,0
NZL-2019-CHRISTCHURCH,Akerlund,0
NZL-2019-CHRISTCHURCH,Knight Templar iconography,0
USA-2019-POWAY,Tarrant,0
USA-2019-POWAY,Bowers,0
USA-2019-POWAY,Breivik,0
USA-2019-STEM,Harris/Klebold (Columbine),0
USA-2019-ELPASO,"Tarrant (explicit ""inspired by the Christchurch shooter"")",0
NOR-2019-BAERUM,Tarrant,0
NOR-2019-BAERUM,Earnest,0
NOR-2019-BAERUM,Bowers,0
FIN-2019-KUOPIO,Auvinen,0
FIN-2019-KUOPIO,Saari (Kauhajoki),0
DEU-2019-HALLE,Tarrant,0
DEU-2019-HALLE,Bowers,0
DEU-2019-HALLE,Earnest,0
DEU-2019-HALLE,Crusius,0
DEU-2019-HALLE,Breivik,0
DEU-2020-GRUPPES,Tarrant (explicit plot modeling),0
USA-2021-ATLANTA,Elliot Rodger (structural),0
RUS-2021-KAZAN,Harris/Klebold (Columbine) — officially ruled by Investigative Committee,0
UK-2021-PLYMOUTH,Elliot Rodger (explicit),0
RUS-2021-PERM,Ilnaz Galyaviev (Kazan — EXPLICIT textual citation by name),0
JPN-2021-KEIO,Tsushima (Odakyu Aug 2021 — EXPLICIT court-documented),0
USA-2022-BUFFALO,Tarrant (primary),0
USA-2022-BUFFALO,Roof,0
USA-2022-BUFFALO,Bowers,0
USA-2022-BUFFALO,Earnest,0
USA-2022-BUFFALO,Crusius,0
USA-2022-BUFFALO,Breivik,0
USA-2022-BUFFALO,cites Hanau + Halle,0
USA-2022-UVALDE,Columbine (brief),0
DNK-2022-COPENHAGEN,"Randy Stair (Eaton Township Weis Markets 2017 YouTuber shooter) — DOCUMENTED US CONTAGION: cited as inspiration whose videos ""opened his eyes""",0
RUS-2022-IZHEVSK,Harris/Klebold (keychains on weapons lanyard),0
RUS-2022-IZHEVSK,Roslyakov/Kolumbayn canon,0
SVK-2022-BRATISLAVA,"Tarrant (primary — calls himself ""Saint Tarrant's 6th Disciple"")",0
SVK-2022-BRATISLAVA,Earnest,0
SVK-2022-BRATISLAVA,Bowers,0
SVK-2022-BRATISLAVA,"Gendron (""final nail in the coffin"")",0
SVK-2022-BRATISLAVA,Breivik,0
SVK-2022-BRATISLAVA,cites Militant Accelerationism + Hard Reset (Terrorgram pubs),0
DEU-2023-BROKSTEDT,Anis Amri (Berlin 2016) — EXPLICIT,0
USA-2023-NASHVILLE,Sandy Hook (Lanza),0
USA-2023-NASHVILLE,Columbine (Harris/Klebold),0
USA-2023-NASHVILLE,Parkland (Cruz),0
JPN-2023-KISHIDA,"Yamagami (Abe 2022) — behavioral/thematic parallel, NOT textual citation (Kimura refused to speak with police)",0
USA-2023-ALLEN,Tarrant,0
USA-2023-ALLEN,Breivik,0
USA-2023-ALLEN,Rodger (partial),0
KOR-2023-BUNDANG,"Cho (Sillim 2023) — EXPLICIT, police confirmed Choi searched news of Sillim attack before rampage",0
USA-2023-JACKSONVILLE,Roof,0
USA-2023-JACKSONVILLE,Gendron-style inscriptions,0
FRA-2023-ARRAS,"Paty/Anzorov (structural/thematic, no direct planning-chain evidence)",0
CZE-2023-PRAGUE,"Russian school shooters (Kazan, Izhevsk, Bryansk/Afanaskina — cited by name)",0
CZE-2023-PRAGUE,Columbine,0
MEX-2024-UTEG,Harris/Klebold (Columbine — explicit trench coat replication),0
MEX-2024-UTEG,Federico Guevara (Monterrey 2017 — explicit),0
TUR-2024-ESKISEHIR,Tarrant,0
TUR-2024-ESKISEHIR,Breivik,0
TUR-2024-ESKISEHIR,Bowers,0
TUR-2024-ESKISEHIR,Roof,0
TUR-2024-ESKISEHIR,Halle (Balliet),0
TUR-2024-ESKISEHIR,Jacksonville (Palmeter),0
TUR-2024-ESKISEHIR,Crimo (Highland Park),0
TUR-2024-ESKISEHIR,Timofey K cited as inspired by him,0
USA-2024-MADISON,Harris/Klebold (primary — KMFDM shirt + Natural Selection),0
USA-2024-MADISON,Lanza (Sandy Hook),0
USA-2024-MADISON,Tarrant,0
USA-2024-MADISON,Breivik,0
USA-2024-MADISON,Kucukyetim (structural — Terrorgram fusion),0
USA-2025-ANTIOCH,Tarrant,0
USA-2025-ANTIOCH,Breivik,0
USA-2025-ANTIOCH,Roof,0
USA-2025-ANTIOCH,Bowers,0
USA-2025-ANTIOCH,Rupnow (explicit),0
USA-2025-ANTIOCH,Crusius,0
USA-2025-ANTIOCH,Gendron,0
USA-2025-ANTIOCH,Krajcik,0
USA-2025-ANTIOCH,Earnest,0
USA-2025-ANTIOCH,"Paul Miller ""Gypsy Crusader""",0
USA-2025-ANTIOCH,Parkland Cruz,0
USA-2025-ANTIOCH,Kucukyetim (as mentor),0
USA-2025-CASAP-WI,Rupnow,0
USA-2025-CASAP-WI,Henderson,0
USA-2025-CASAP-WI,Tarrant (Christchurch),0
USA-2025-CASAP-WI,Krajcik (explicit),0
USA-2025-ALLEN-FL,Tarrant,0
USA-2025-ALLEN-FL,Rupnow,0
USA-2025-ALLEN-FL,Timofey K,0
AUT-2025-GRAZ,Harris/Klebold (Columbine — EXPLICIT per 50+ photos found on phone),0
AUT-2025-GRAZ,"generic ""Columbine cult"" references",0
USA-2025-MINNEAPOLIS,Rupnow (Madison 2024) — EXPLICIT inscription,0
USA-2025-MINNEAPOLIS,Harris/Klebold (Columbine) — EXPLICIT,0
USA-2025-MINNEAPOLIS,Lanza,0
USA-2025-MINNEAPOLIS,Audrey Hale (Covenant 2023),0
MEX-2025-CCHSUR,Rodger (explicit Spanish-language canon translation),0
RUS-2025-ODINTSOVO,Breivik,0
RUS-2025-ODINTSOVO,Tarrant,0
RUS-2025-ODINTSOVO,Roof,0
RUS-2025-ODINTSOVO,Bowers,0
RUS-2025-ODINTSOVO,Crusius,0
RUS-2025-ODINTSOVO,Kucukyetim (Eskisehir — explicit),0
RUS-2025-ODINTSOVO,Palmeter (Jacksonville),0
RUS-2025-ODINTSOVO,Garcia (Allen),0
RUS-2025-ODINTSOVO,McVeigh,0
RUS-2025-ODINTSOVO,"Russian Kolumbayn saints (Roslyakov, Galyaviev implicit via ненависть iconography)",0
RUS-2026-ANAPA,"Odintsovo (Timofey K, Oct 2025) — alleged structural emulation",0
