case_id,handle,position
FIN-2007-JOKELA,Sturmgeist89 (YouTube),0
FIN-2007-JOKELA,NaturalSelector89,0
FIN-2008-KAUHAJOKI,Wumpscut86 (YouTube),0
FIN-2008-KAUHAJOKI,Mr Saari (IRC-Galleria),0
USA-2012-SANDYHOOK,"""Kaynbred""",0
USA-2012-SANDYHOOK,"""Smiggles""",0
USA-2014-ISLAVISTA,ElliotRodger (YouTube),0
USA-2014-ISLAVISTA,"various PUAHate, bodybuilding.com misc handles",0
JPN-2016-SAGAMIHARA,@Sa_tosiii_u (alleged — UNVERIFIED English primary),0
USA-2019-DAYTON,"""iamthespookster"" (Twitter)",0
FRA-2020-PATY,@Tchetchene_270,0
UK-2021-PLYMOUTH,"""Professor_Waffles"" and various",0
SVK-2022-BRATISLAVA,"@NTMA0315 (""Never Take Me Alive, March 15"" = Tarrant date)",0
JPN-2023-KISHIDA,23 Twitter posts since June 2022,0
TUR-2024-ESKISEHIR,"""Cin Sincap"" (""Jinn Squirrel"")",0
TUR-2024-ESKISEHIR,"""Goldson TheDude Sincapgrad""",0
DEU-2024-MAGDEBURG,"""drtalebj"" and others",0
USA-2025-ANTIOCH,varying Discord handles,0
