case_id,subculture_tag,position
FIN-2007-JOKELA,columbine_fandom,0
JPN-2008-AKIHABARA,incel,0
FIN-2008-KAUHAJOKI,columbine_fandom,0
NOR-2011-BREIVIK,great_replacement,0
NOR-2011-BREIVIK,accelerationist,0
USA-2012-OAKCREEK,accelerationist,0
USA-2012-OAKCREEK,great_replacement,0
USA-2012-SANDYHOOK,columbine_fandom,0
USA-2014-ISLAVISTA,incel,0
FRA-2015-HEBDO,jihadist,0
FRA-2015-HEBDO,islamist,0
DNK-2015-COPENHAGEN,jihadist,0
DNK-2015-COPENHAGEN,islamist,0
USA-2015-CHARLESTON,accelerationist,0
USA-2015-CHARLESTON,great_replacement,0
SWE-2015-TROLLHATTAN,great_replacement,0
SWE-2015-TROLLHATTAN,accelerationist,0
FRA-2015-BATACLAN,jihadist,0
FRA-2015-BATACLAN,islamist,0
USA-2015-SANBERN,jihadist,0
TUR-2016-ANKARA,separatist,0
BEL-2016-BRUSSELS,jihadist,0
USA-2016-PULSE,jihadist,0
FRA-2016-MAGNANVILLE,jihadist,0
FRA-2016-NICE,jihadist,0
DEU-2016-MUNICH,great_replacement,0
DEU-2016-MUNICH,columbine_fandom,0
JPN-2016-SAGAMIHARA,great_replacement,0
JPN-2016-SAGAMIHARA,accelerationist,0
DEU-2016-BERLIN,jihadist,0
TUR-2017-REINA,jihadist,0
MEX-2017-MONTERREY,columbine_fandom,0
CAN-2017-QUEBEC,great_replacement,0
UK-2017-MANCHESTER,jihadist,0
UK-2017-LONDONBRIDGE,jihadist,0
UK-2017-FINSBURY,great_replacement,0
ESP-2017-BARCELONA,jihadist,0
ITA-2018-MACERATA,great_replacement,0
ITA-2018-MACERATA,neo_fascist,0
USA-2018-PARKLAND,columbine_fandom,0
USA-2018-PARKLAND,accelerationist,0
CAN-2018-TORONTO,incel,0
USA-2018-SANTAFE,columbine_fandom,0
BEL-2018-LIEGE,jihadist,0
RUS-2018-KERCH,kolumbayn,0
USA-2018-PITTSBURGH,accelerationist,0
USA-2018-PITTSBURGH,great_replacement,0
AUS-2018-BOURKE2,jihadist,0
FRA-2018-STRASBOURG,jihadist,0
USA-2019-HASSON,accelerationist,0
USA-2019-HASSON,great_replacement,0
NZL-2019-CHRISTCHURCH,accelerationist,0
NZL-2019-CHRISTCHURCH,great_replacement,0
NZL-2019-CHRISTCHURCH,ecofascist,0
NLD-2019-UTRECHT,jihadist,0
USA-2019-POWAY,accelerationist,0
USA-2019-STEM,columbine_fandom,0
USA-2019-ELPASO,accelerationist,0
